Self-learned emb,,,,
,precision, recall, f1, support
0,0.66,0.69,0.68,1472
1,0.66,0.61,0.63,2332
2,0.85,0.86,0.85,8265
avg,0.72,0.72,0.72,12069
,,,,
 HELDOUT :,,,,
,precision, recall, f1, support
0,0.7,0.73,0.71,462
1,0.64,0.66,0.65,818
2,0.86,0.84,0.85,2744
avg,0.73,0.75,0.74,4024
,,,,
"google emb, oov=0",,,,
,precision, recall, f1, support
0,0.73,0.65,0.69,1472
1,0.75,0.56,0.64,2332
2,0.83,0.91,0.87,8265
avg,0.77,0.7,0.73,12069
,,,,
 HELDOUT :,,,,
,precision, recall, f1, support
0,0.65,0.79,0.72,462
1,0.73,0.58,0.64,818
2,0.85,0.87,0.86,2744
avg,0.74,0.75,0.74,4024
,,,,
"google emb, oov=1",,,,
,precision, recall, f1, support
0,0.76,0.62,0.68,1472
1,0.71,0.6,0.65,2332
2,0.84,0.9,0.87,8265
avg,0.77,0.71,0.73,12069
,,,,
 HELDOUT :,,,,
,precision, recall, f1, support
0,0.74,0.71,0.72,462
1,0.75,0.57,0.65,818
2,0.84,0.9,0.87,2744
avg,0.78,0.73,0.75,4024
,,,,
"google emb, oov=2",,,,
,precision, recall, f1, support
0,0.74,0.65,0.69,1472
1,0.73,0.58,0.64,2332
2,0.84,0.9,0.87,8265
avg,0.77,0.71,0.73,12069
,,,,
 HELDOUT :,,,,
,precision, recall, f1, support
0,0.69,0.81,0.74,462
1,0.72,0.59,0.65,818
2,0.85,0.87,0.86,2744
avg,0.75,0.76,0.75,4024
